City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Palembang,ID,75.27,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
1,Hilo,US,76.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2,Bredasdorp,ZA,56.52,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
3,Rikitea,PF,73.17,light rain,-23.1203,-134.9692,People ThankYou
4,Hualmay,PE,66.47,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
5,Sorland,NO,51.66,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
6,Ilulissat,GL,28.42,clear sky,69.2167,-51.1,Hotel Arctic
7,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Hithadhoo,MV,83.91,overcast clouds,-0.6,73.0833,Scoop Guest House
9,Port Alfred,ZA,59.02,broken clouds,-33.5906,26.891,The Halyards Hotel
10,Matara,LK,79.48,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
11,Eureka,US,54.25,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
12,Marovoay,MG,77.14,scattered clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
13,Nikolskoye,RU,46.29,broken clouds,59.7035,30.7861,Tourist House - Sablino
14,Ushuaia,AR,38.82,broken clouds,-54.8,-68.3,Albatros Hotel
15,Hermanus,ZA,57.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Kiunga,PG,70.79,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
17,Tisul,RU,53.33,light rain,55.7611,88.3122,Gostinitsa
18,Bluff,NZ,36.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
19,Tasiilaq,GL,39.36,scattered clouds,65.6145,-37.6368,The Red House
20,Guerrero Negro,MX,75.22,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
21,Lorengau,PG,78.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
22,Cherskiy,RU,26.04,broken clouds,68.75,161.3,Gostinitsa
23,Tabou,CI,79.2,light rain,4.423,-7.3528,hotêl doufoulougou
24,Mangit,UZ,70.88,clear sky,40.5971,70.9607,Dangara Hotel
25,Kodiak,US,51.31,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
26,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Katsuura,JP,69.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
28,Ahuimanu,US,78.51,light rain,21.4447,-157.8378,Paradise Bay Resort
29,Cintalapa,MX,81.88,broken clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
30,Chumikan,RU,53.55,light rain,54.7183,135.315,Fortuna
31,Yellowknife,CA,41.52,scattered clouds,62.456,-114.3525,The Explorer Hotel
