City_ID,City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
0,Avarua,CK,2021-09-16 00:21:58,69,-21.2078,-159.775,78.85,75,10.36
1,Marawi,PH,2021-09-16 00:21:58,83,7.9986,124.2928,73.65,98,1.25
2,Hermanus,ZA,2021-09-16 00:21:59,84,-34.4187,19.2345,51.91,10,7.87
3,Kavieng,PG,2021-09-16 00:21:59,75,-2.5744,150.7967,82.81,100,13.44
4,Santa Maria,BR,2021-09-16 00:19:00,78,-29.6842,-53.8069,51.53,36,3.89
5,Pearl,US,2021-09-16 00:22:00,89,32.2746,-90.132,75.34,90,8.05
6,Rikitea,PF,2021-09-16 00:22:00,72,-23.1203,-134.9692,73.62,2,13.18
7,Kodiak,US,2021-09-16 00:22:00,93,57.79,-152.4072,47.71,90,9.22
8,Bambous Virieux,MU,2021-09-16 00:22:01,94,-20.3428,57.7575,68.25,40,3.44
9,Torrington,US,2021-09-16 00:22:01,86,41.8007,-73.1212,76.95,100,4.32
10,Chkalovsk,RU,2021-09-16 00:22:02,83,56.7647,43.2433,44.19,100,13.62
11,Garowe,SO,2021-09-16 00:22:02,61,8.4054,48.4845,78.06,99,15.28
12,Jamestown,US,2021-09-16 00:19:59,90,42.097,-79.2353,63.72,20,1.99
13,Ushuaia,AR,2021-09-16 00:21:47,100,-54.8,-68.3,28.06,75,29.93
14,Tasiilaq,GL,2021-09-16 00:22:03,99,65.6145,-37.6368,39.36,100,6.76
15,Kapaa,US,2021-09-16 00:20:28,64,22.0752,-159.319,87.78,40,5.01
16,Nemuro,JP,2021-09-16 00:22:03,70,43.3236,145.575,59.43,0,0.54
17,Pochutla,MX,2021-09-16 00:22:04,83,15.7432,-96.4661,81.45,76,6.22
18,Port Elizabeth,ZA,2021-09-16 00:21:07,87,-33.918,25.5701,54.1,0,10.36
19,New Norfolk,AU,2021-09-16 00:22:05,51,-42.7826,147.0587,54.91,6,1.45
20,Khatanga,RU,2021-09-16 00:22:05,93,71.9667,102.5,38.46,100,12.68
21,Cayenne,GF,2021-09-16 00:19:05,79,4.9333,-52.3333,83.08,0,4.0
22,Nikolskoye,RU,2021-09-16 00:22:06,92,59.7035,30.7861,43.02,93,4.29
23,Gat,IL,2021-09-16 00:20:04,100,31.61,34.7642,74.39,0,5.44
24,Whitehorse,CA,2021-09-16 00:22:06,37,60.7161,-135.0538,54.1,75,12.66
25,Bluff,NZ,2021-09-16 00:19:17,71,-46.6,168.3333,47.8,93,11.95
26,Udachnyy,RU,2021-09-16 00:22:07,78,66.4167,112.4,38.68,21,8.88
27,Adre,TD,2021-09-16 00:22:07,37,13.4667,22.2,77.61,34,5.99
28,Port Alfred,ZA,2021-09-16 00:22:08,82,-33.5906,26.891,55.89,39,8.32
29,Puerto Ayora,EC,2021-09-16 00:22:08,93,-0.7393,-90.3518,67.55,45,1.01
30,Tiksi,RU,2021-09-16 00:22:09,90,71.6872,128.8694,39.97,100,2.44
31,Bethel,US,2021-09-16 00:22:09,82,41.3712,-73.414,77.36,1,3.44
32,Hobart,AU,2021-09-16 00:17:18,64,-42.8794,147.3294,55.26,20,3.0
33,Baiyin,CN,2021-09-16 00:22:10,67,36.5583,104.2081,58.08,50,1.61
34,Saskylakh,RU,2021-09-16 00:22:10,96,71.9167,114.0833,42.91,100,15.59
35,Alekseyevka,RU,2021-09-16 00:22:11,56,50.6309,38.6903,47.73,15,4.85
36,Carnarvon,AU,2021-09-16 00:22:11,82,-24.8667,113.6333,66.27,90,10.36
37,Mataura,NZ,2021-09-16 00:22:12,89,-46.1927,168.8643,48.47,99,1.92
38,Lebu,CL,2021-09-16 00:22:12,83,-37.6167,-73.65,48.87,12,5.75
39,Eureka,US,2021-09-16 00:22:12,71,40.8021,-124.1637,65.19,37,5.99
40,Hammerfest,NO,2021-09-16 00:22:13,70,70.6634,23.6821,43.25,20,5.75
41,Waingapu,ID,2021-09-16 00:22:13,66,-9.6567,120.2641,82.63,45,8.61
42,College,US,2021-09-16 00:22:13,49,64.8569,-147.8028,57.65,75,10.36
43,Port-Gentil,GA,2021-09-16 00:22:14,85,-0.7193,8.7815,77.27,47,10.38
44,Hirara,JP,2021-09-16 00:22:14,84,24.8,125.2833,84.47,40,4.61
45,Albany,US,2021-09-16 00:21:45,94,42.6001,-73.9662,68.27,100,3.6
46,Ahipara,NZ,2021-09-16 00:22:15,82,-35.1667,173.1667,63.48,41,12.12
47,Labuhan,ID,2021-09-16 00:22:15,77,-6.8844,112.2051,79.48,100,8.28
48,Aklavik,CA,2021-09-16 00:22:16,58,68.2191,-135.0107,58.03,80,6.82
49,Mahebourg,MU,2021-09-16 00:22:16,94,-20.4081,57.7,68.29,40,3.44
50,Bredasdorp,ZA,2021-09-16 00:19:29,87,-34.5322,20.0403,42.12,7,1.14
51,Pisco,PE,2021-09-16 00:19:30,77,-13.7,-76.2167,62.65,73,13.8
52,Victoria,HK,2021-09-16 00:19:55,81,22.2855,114.1577,87.33,96,8.14
53,Mount Isa,AU,2021-09-16 00:22:17,15,-20.7333,139.5,85.77,8,17.27
54,Clyde River,CA,2021-09-16 00:22:17,69,70.4692,-68.5914,31.08,12,7.81
55,Mar Del Plata,AR,2021-09-16 00:22:18,71,-38.0023,-57.5575,53.62,0,2.3
56,Butaritari,KI,2021-09-16 00:22:18,72,3.0707,172.7902,83.05,53,12.75
57,Nuevo Imperial,PE,2021-09-16 00:22:19,78,-13.0754,-76.3172,62.78,72,2.1
58,Longyearbyen,SJ,2021-09-16 00:22:19,69,78.2186,15.6401,33.64,20,12.66
59,Kununurra,AU,2021-09-16 00:22:20,51,-15.7667,128.7333,87.78,40,3.44
60,Beloha,MG,2021-09-16 00:21:14,61,-25.1667,45.05,68.79,1,3.24
61,Georgetown,MY,2021-09-16 00:19:20,90,5.4112,100.3354,80.89,20,2.3
62,Knysna,ZA,2021-09-16 00:22:21,83,-34.0363,23.0471,50.38,2,7.27
63,Saryg-Sep,RU,2021-09-16 00:22:21,66,51.5,95.6,41.32,68,3.09
64,Goderich,CA,2021-09-16 00:18:22,82,43.7501,-81.7165,64.9,60,3.44
65,Moerai,PF,2021-09-16 00:22:22,81,-22.4333,-151.3333,73.76,12,16.69
66,Yakeshi,CN,2021-09-16 00:22:22,81,49.2833,120.7333,50.27,65,12.66
67,Kodino,RU,2021-09-16 00:21:07,91,63.7198,39.6447,36.77,100,4.38
68,Port Hardy,CA,2021-09-16 00:22:22,63,50.6996,-127.4199,59.18,20,13.8
69,Tuatapere,NZ,2021-09-16 00:22:23,76,-46.1333,167.6833,48.81,90,4.09
70,Lompoc,US,2021-09-16 00:22:23,75,34.6391,-120.4579,78.94,1,14.97
71,Ribeira Grande,PT,2021-09-16 00:22:24,76,38.5167,-28.7,71.44,6,4.09
72,Toledo,ES,2021-09-16 00:22:24,74,39.8333,-4.0,69.08,77,3.47
73,Lazaro Cardenas,MX,2021-09-16 00:22:24,84,17.9583,-102.2,81.19,64,3.38
74,Marfino,RU,2021-09-16 00:22:25,93,55.7028,37.3822,44.74,75,8.95
75,Airai,TL,2021-09-16 00:22:25,55,-8.9266,125.4092,69.75,69,4.34
76,Qaanaaq,GL,2021-09-16 00:18:53,68,77.484,-69.3632,14.83,82,7.94
77,Lavrentiya,RU,2021-09-16 00:22:26,65,65.5833,-171.0,39.42,100,9.93
78,Berdigestyakh,RU,2021-09-16 00:22:26,91,62.0989,126.6992,41.43,100,7.0
79,Dunedin,NZ,2021-09-16 00:21:49,83,-45.8742,170.5036,48.79,56,4.0
80,Batagay,RU,2021-09-16 00:22:27,74,67.6333,134.6333,50.59,100,4.61
81,Jiuquan,CN,2021-09-16 00:22:27,51,39.7432,98.5174,62.73,1,2.48
82,Guerrero Negro,MX,2021-09-16 00:22:28,69,27.9769,-114.0611,74.26,0,21.5
83,Sakakah,SA,2021-09-16 00:22:28,23,29.9697,40.2064,81.97,19,6.96
84,Alofi,NU,2021-09-16 00:22:29,69,-19.0595,-169.9187,82.29,75,12.66
85,Suicheng,CN,2021-09-16 00:22:29,86,33.8963,117.9331,70.93,91,4.76
86,Kaduy,RU,2021-09-16 00:22:29,95,59.2,37.15,36.64,87,5.08
87,Nebolchi,RU,2021-09-16 00:22:30,98,59.1239,33.3454,37.6,68,3.06
88,Arlit,NE,2021-09-16 00:22:30,15,18.7369,7.3853,93.7,7,9.46
