City_ID,City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
0,The Valley,AI,2021-09-14 19:59:40,84,18.217,-63.0578,85.82,20,13.8
1,Mataura,NZ,2021-09-14 19:50:48,86,-46.1927,168.8643,32.49,10,1.9
2,Atuona,PF,2021-09-14 19:50:58,72,-9.8,-139.0333,77.85,2,20.76
3,Saldanha,ZA,2021-09-14 19:52:11,67,-33.0117,17.9442,53.65,99,15.93
4,Verkhnevilyuysk,RU,2021-09-14 19:59:41,84,63.4453,120.3167,46.11,100,4.63
5,Upernavik,GL,2021-09-14 19:51:44,69,72.7868,-56.1549,27.27,15,9.19
6,New Norfolk,AU,2021-09-14 19:51:03,73,-42.7826,147.0587,45.9,99,1.86
7,Luderitz,NA,2021-09-14 19:50:56,70,-26.6481,15.1594,54.36,0,21.39
8,Albany,US,2021-09-14 19:46:48,70,42.6001,-73.9662,79.81,89,6.96
9,Rikitea,PF,2021-09-14 19:50:43,77,-23.1203,-134.9692,73.71,100,9.78
10,Luang Prabang,LA,2021-09-14 19:59:42,99,19.8856,102.1347,74.82,98,0.89
11,Punta Arenas,CL,2021-09-14 19:47:42,81,-53.15,-70.9167,41.02,40,32.21
12,Port Elizabeth,ZA,2021-09-14 19:46:14,94,-33.918,25.5701,59.09,90,18.41
13,Jamestown,US,2021-09-14 19:50:44,62,42.097,-79.2353,82.71,100,8.99
14,Hilo,US,2021-09-14 19:50:47,69,19.7297,-155.09,82.26,75,3.44
15,Oistins,BB,2021-09-14 19:59:44,74,13.0667,-59.5333,87.89,40,12.66
16,Itapora,BR,2021-09-14 19:59:44,28,-22.0799,-54.7874,93.34,78,8.48
17,Petropavlovsk-Kamchatskiy,RU,2021-09-14 19:51:34,100,53.0452,158.6483,34.39,0,6.71
18,Bluff,NZ,2021-09-14 19:50:43,81,-46.6,168.3333,32.81,69,11.01
19,East London,ZA,2021-09-14 19:51:04,74,-33.0153,27.9116,64.22,100,16.24
20,Khani,GE,2021-09-14 19:52:16,96,41.9563,42.9566,62.17,96,1.05
21,Yellowknife,CA,2021-09-14 19:51:27,100,62.456,-114.3525,52.32,90,13.8
22,Abomey,BJ,2021-09-14 19:59:45,88,7.1829,1.9912,73.72,97,6.71
23,Vila Velha,BR,2021-09-14 19:53:41,78,-20.3297,-40.2925,78.75,0,20.71
24,Ushuaia,AR,2021-09-14 19:50:48,87,-54.8,-68.3,35.26,90,37.98
25,Kysyl-Syr,RU,2021-09-14 19:59:46,89,63.8986,122.7617,45.16,100,4.12
26,Nouadhibou,MR,2021-09-14 19:59:47,73,20.931,-17.0347,78.78,5,14.97
27,Clyde River,CA,2021-09-14 19:51:06,80,70.4692,-68.5914,32.23,90,9.22
28,Hobart,AU,2021-09-14 19:50:30,89,-42.8794,147.3294,46.26,90,5.75
29,Gornyy,RU,2021-09-14 19:59:47,88,55.1153,83.9059,44.8,100,5.08
30,Katsuura,JP,2021-09-14 19:51:28,91,35.1333,140.3,69.91,100,12.15
31,Cabo San Lucas,MX,2021-09-14 19:48:01,75,22.8909,-109.9124,93.61,14,8.12
32,Ostrovnoy,RU,2021-09-14 19:51:49,76,68.0531,39.5131,40.39,38,13.11
33,Codrington,AU,2021-09-14 19:54:08,71,-38.2667,141.9667,45.46,100,3.78
34,Busselton,AU,2021-09-14 19:50:53,81,-33.65,115.3333,44.04,98,5.84
35,Novaya Bryan,RU,2021-09-14 19:59:49,96,51.7159,108.2691,45.37,98,3.71
