City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,LightRain inches (last 24 hours),ClearSky inches (last 24 hours)
0,Palembang,ID,2021-09-16 16:48:17,-2.9167,104.7458,75.27,89,41,3.4,scattered clouds,0,0
1,Hilo,US,2021-09-16 16:48:18,19.7297,-155.09,76.28,89,90,9.22,overcast clouds,0,0
2,Bredasdorp,ZA,2021-09-16 16:48:18,-34.5322,20.0403,56.52,58,90,6.91,overcast clouds,0,0
3,Rikitea,PF,2021-09-16 16:48:19,-23.1203,-134.9692,73.17,77,7,14.7,light rain,0,0
4,Hualmay,PE,2021-09-16 16:48:19,-11.0964,-77.6139,66.47,69,33,9.62,scattered clouds,0,0
5,Sorland,NO,2021-09-16 16:48:19,67.667,12.6934,51.66,71,99,7.05,overcast clouds,0,0
6,Ilulissat,GL,2021-09-16 16:48:20,69.2167,-51.1,28.42,46,1,9.22,clear sky,0,0
7,Kapaa,US,2021-09-16 16:43:37,22.0752,-159.319,77.32,80,75,13.8,broken clouds,0,0
8,Hithadhoo,MV,2021-09-16 16:48:21,-0.6,73.0833,83.91,70,100,9.78,overcast clouds,0,0
9,Port Alfred,ZA,2021-09-16 16:48:21,-33.5906,26.891,59.02,67,69,20.24,broken clouds,0,0
10,Matara,LK,2021-09-16 16:48:21,5.9485,80.5353,79.48,86,99,8.66,overcast clouds,0,0
11,Eureka,US,2021-09-16 16:48:22,40.8021,-124.1637,54.25,86,3,1.01,clear sky,0,0
12,Marovoay,MG,2021-09-16 16:48:22,-16.1,46.6333,77.14,69,29,6.13,scattered clouds,0,0
13,Nikolskoye,RU,2021-09-16 16:48:23,59.7035,30.7861,46.29,79,82,4.23,broken clouds,0,0
14,Ushuaia,AR,2021-09-16 16:48:23,-54.8,-68.3,38.82,60,75,0.0,broken clouds,0,0
15,Hermanus,ZA,2021-09-16 16:48:23,-34.4187,19.2345,57.9,66,93,8.7,overcast clouds,0,0
16,Kiunga,PG,2021-09-16 16:48:24,-6.1219,141.2906,70.79,99,96,3.89,overcast clouds,0,0
17,Tisul,RU,2021-09-16 16:48:24,55.7611,88.3122,53.33,84,100,5.37,light rain,0,0
18,Bluff,NZ,2021-09-16 16:48:25,-46.6,168.3333,36.81,73,70,11.95,broken clouds,0,0
19,Tasiilaq,GL,2021-09-16 16:48:25,65.6145,-37.6368,39.36,68,25,4.54,scattered clouds,0,0
20,Guerrero Negro,MX,2021-09-16 16:45:26,27.9769,-114.0611,75.22,65,0,16.89,clear sky,0,0
21,Lorengau,PG,2021-09-16 16:43:53,-2.0226,147.2712,78.4,79,91,4.83,overcast clouds,0,0
22,Cherskiy,RU,2021-09-16 16:48:26,68.75,161.3,26.04,85,58,10.09,broken clouds,0,0
23,Tabou,CI,2021-09-16 16:48:27,4.423,-7.3528,79.2,83,77,11.07,light rain,0,0
24,Mangit,UZ,2021-09-16 16:48:27,40.5971,70.9607,70.88,17,0,10.63,clear sky,0,0
25,Kodiak,US,2021-09-16 16:48:27,57.79,-152.4072,51.31,93,90,6.91,light rain,0,0
26,Puerto Ayora,EC,2021-09-16 16:48:28,-0.7393,-90.3518,71.55,86,96,5.01,overcast clouds,0,0
27,Katsuura,JP,2021-09-16 16:48:28,35.1333,140.3,69.91,77,90,9.78,overcast clouds,0,0
28,Ahuimanu,US,2021-09-16 16:48:29,21.4447,-157.8378,78.51,77,75,5.75,light rain,0,0
29,Cintalapa,MX,2021-09-16 16:48:29,16.6951,-93.7272,81.88,68,84,4.0,broken clouds,0,0
30,Chumikan,RU,2021-09-16 16:48:30,54.7183,135.315,53.55,94,100,5.03,light rain,0,0
31,Yellowknife,CA,2021-09-16 16:48:30,62.456,-114.3525,41.52,75,40,11.5,scattered clouds,0,0
32,Awjilah,LY,2021-09-16 16:48:30,29.1081,21.2869,84.51,22,0,9.78,clear sky,0,0
33,Hobart,AU,2021-09-16 16:45:31,-42.8794,147.3294,45.27,93,86,6.91,overcast clouds,0,0
34,Port Blair,IN,2021-09-16 16:48:31,11.6667,92.75,78.48,84,100,8.55,overcast clouds,0,0
35,Chuy,UY,2021-09-16 16:48:31,-33.6971,-53.4616,64.85,53,0,3.02,clear sky,0,0
36,Askiz,RU,2021-09-16 16:48:32,53.1319,90.5264,57.43,57,100,2.77,overcast clouds,0,0
37,Atar,MR,2021-09-16 16:48:32,20.5169,-13.0499,103.95,15,25,1.99,scattered clouds,0,0
38,Punakha,BT,2021-09-16 16:48:33,27.5837,89.8598,70.2,94,93,1.1,overcast clouds,0,0
39,Key Largo,US,2021-09-16 16:46:44,25.0865,-80.4473,89.01,67,5,11.56,clear sky,0,0
40,Viraganur,IN,2021-09-16 16:48:33,11.4833,78.7333,80.06,79,90,7.72,overcast clouds,0,0
41,Omboue,GA,2021-09-16 16:48:34,-1.5746,9.2618,77.52,80,99,8.39,overcast clouds,0,0
42,Bud,US,2021-09-16 16:42:33,39.447,-86.1758,78.12,81,1,5.79,clear sky,0,0
43,Mughal Sarai,IN,2021-09-16 16:48:34,25.3,83.1167,78.87,91,100,7.07,overcast clouds,0,0
44,Cape Town,ZA,2021-09-16 16:48:01,-33.9258,18.4232,59.41,68,20,5.01,few clouds,0,0
45,Barrow,US,2021-09-16 16:48:35,71.2906,-156.7887,33.82,86,90,13.8,light snow,0,0
46,Kalmunai,LK,2021-09-16 16:48:35,7.4167,81.8167,79.93,80,100,1.79,overcast clouds,0,0
47,Mataura,NZ,2021-09-16 16:48:36,-46.1927,168.8643,36.48,99,11,2.66,few clouds,0,0
48,Lagoa,PT,2021-09-16 16:48:36,39.05,-27.9833,72.03,74,13,8.93,few clouds,0,0
49,Atuona,PF,2021-09-16 16:48:36,-9.8,-139.0333,77.4,73,5,17.29,clear sky,0,0
50,Marawi,PH,2021-09-16 16:48:37,7.9986,124.2928,64.65,97,100,3.11,overcast clouds,0,0
51,Sarab,IR,2021-09-16 16:48:37,38.6066,44.9883,74.39,16,0,4.0,clear sky,0,0
52,Kahului,US,2021-09-16 16:48:37,20.8947,-156.47,76.26,82,1,4.61,clear sky,0,0
